ID,target
000137c73,1690711.289586418
00021489f,1632332.996022271
0004d7953,2003885.0927671979
00056a333,4877350.906121514
00056d8eb,2342169.349037173
0005fc190,2366744.133654386
000787e86,1816717.1929856665
0008510a0,2015609.7651890581
000895faf,2817467.7712316033
000986fba,2500681.72529269
0009efcc5,2209324.744308204
000dd8f00,12993206.653773349
000e1cdc2,1953813.405835738
00103739c,2022350.5195736594
00134b367,1839014.3701688442
001788d0d,1162607.7744595266
0019c8ad7,2657428.993414298
001a267b9,866855.8943334175
001a85486,2040980.2997318578
001c4de06,1873292.4461053214
001f9014b,3677640.238363767
00216fb94,5972119.3822679445
00235690e,2676994.72454127
00240739d,6459180.443457184
0024c3747,1686359.0544452397
00297052d,2283179.8700702586
002ab8f85,1800826.5390714293
002bed5c0,1959203.7361017624
002bf3974,3046568.5834519197
002d23a26,2066532.2740878982
002f27de9,2008217.5856402752
0030d8bb4,2853573.9066586094
003146acd,1238725.1586640447
003223263,1443336.4578034366
00335575e,3262612.868810888
00337cf9d,2972893.1030184585
003394397,2148200.471671499
0036358a3,3397639.8552044416
003770d30,2930397.4043048588
003bed5ea,1505011.042490033
003ea6427,2761666.20244435
003ef8132,5938074.227060371
003fd1723,2758426.4401468732
0041861b4,474948.0656824498
0042b718b,2181150.2781249653
004381d8f,2715094.8403170896
0043ca764,2240729.270561718
004486837,1331010.4449815575
0045c123e,2746331.072488683
0048915c6,3140235.667742284
004ab9a09,2855241.6480029784
004b2e1c9,3575876.847111459
004c54732,1043535.809181038
004cdefce,5167061.542195327
004dd971b,3232550.393983706
004f9329b,2404479.2021067915
004fd2bca,1440246.0246969934
0054bfedb,1875054.2067648864
0054ec58a,223807.95675081658
00551f45d,12932359.427520834
005777b4c,2219487.494328791
00578d6ea,2252359.285580433
005802488,1821529.8695300657
0059833b6,3043483.2377772136
005a70085,2159159.2882308536
005b148a0,3053921.163355505
005c28df4,2709598.300155984
005f8dc26,2752036.9606145215
00603c202,3788665.8884860286
006049609,3255270.2199277272
00612f47e,571009.1851423793
00647a57f,5768221.762135627
0065853ee,1486791.025974202
006589d5e,1122684.0970372555
006598823,5805074.492728522
0065c093c,2532765.188777257
006738351,2501449.395928873
006a0c6a8,2034351.9472963556
006e9efe6,1876770.6296922246
006f029d3,2048017.1085449643
0070f35a2,2701447.574859571
007135f85,3915760.134348869
007285433,11235438.48078945
00735e101,2308174.3493560697
0074ecf4e,3066087.950425375
007635fa9,1661877.7262380903
007723613,5725760.15966402
007867da9,832031.4953641545
0078bfbd6,988338.4431967064
0078ce229,620648.6863813357
007a89d50,2397191.1027884614
007d43dfa,2626160.8518396174
007ee9e05,2036451.7564568073
007ffeae2,2415002.781549945
00835c85c,2741570.319705349
0084b08f1,2056444.8921732502
0087fb290,1449181.010021094
0088a96bd,2045846.7678880545
008ac4292,1827347.9177139176
008d8cca8,2661205.906550901
008e07b8c,2210246.359342081
008e5e25a,2384144.6323038293
0094edcdb,1577941.6869815185
00950141c,2660367.1325976546
009566ef1,2345674.2192885024
0095c81d4,2681476.7945369612
